postionType,postionLocation,positionName,postionNumber,postionLink,publishDate
产品/项目类,深圳,OMG236-腾讯视频平台高级产品经理（北京）,1,position_detail.php?id=30667&keywords=&tid=0&lid=0,2017-11-24
postionNumber,publishDate,postionLink,positionName,postionLocation,postionType
1,2017-11-24,position_detail.php?id=30667&keywords=&tid=0&lid=0,OMG236-腾讯视频平台高级产品经理（北京）,深圳,产品/项目类
postionType,postionLink,publishDate,postionNumber,postionLocation,positionName
产品/项目类,position_detail.php?id=30667&keywords=&tid=0&lid=0,2017-11-24,1,深圳,OMG236-腾讯视频平台高级产品经理（北京）
postionLink,postionLocation,postionNumber,positionName,postionType,publishDate
position_detail.php?id=30667&keywords=&tid=0&lid=0,深圳,1,OMG236-腾讯视频平台高级产品经理（北京）,产品/项目类,2017-11-24
position_detail.php?id=34543&keywords=&tid=0&lid=0,北京,3,22090-天天快报-高级数据分析师（北京）,技术类,2017-11-24
position_detail.php?id=34540&keywords=&tid=0&lid=0,北京,1,22090-天天快报-Web前端开发（北京）,技术类,2017-11-24
position_detail.php?id=34538&keywords=&tid=0&lid=0,北京,2,22090-天天快报-高级数据产品经理（北京）,产品/项目类,2017-11-24
position_detail.php?id=34536&keywords=&tid=0&lid=0,深圳,1,MIG09-QQ浏览器高级产品经理（深圳）,产品/项目类,2017-11-24
positionName,publishDate,postionLink,postionNumber,postionLocation,postionType
OMG236-腾讯视频平台高级产品经理（北京）,2017-11-24,position_detail.php?id=30667&keywords=&tid=0&lid=0,1,深圳,产品/项目类
22090-天天快报-高级数据分析师（北京）,2017-11-24,position_detail.php?id=34543&keywords=&tid=0&lid=0,3,北京,技术类
22090-天天快报-Web前端开发（北京）,2017-11-24,position_detail.php?id=34540&keywords=&tid=0&lid=0,1,北京,技术类
22090-天天快报-高级数据产品经理（北京）,2017-11-24,position_detail.php?id=34538&keywords=&tid=0&lid=0,2,北京,产品/项目类
MIG09-QQ浏览器高级产品经理（深圳）,2017-11-24,position_detail.php?id=34536&keywords=&tid=0&lid=0,1,深圳,产品/项目类
